play_id,qtr,time,posteam,defteam,down,ydstogo,yardline_100,score_differential,play_type,desc,epa,wpa,wp
3910,4,04:37,NE,SEA,1,10,44,-15,pass,"(4:37) (No Huddle, Shotgun) 10-D.Maye pass short middle intended for 9-K.Boutte INTERCEPTED by 7-U.Nwosu (21-D.Witherspoon) [21-D.Witherspoon] at NE 45. 7-U.Nwosu for 45 yards, TOUCHDOWN.",-9.8059,-0.02959,0.0302
3936,4,04:27,SEA,NE,,0,15,21,extra_point,"5-J.Myers extra point is GOOD, Center-41-C.Stoll, Holder-4-M.Dickson.",0.0676,6e-05,0.9994
3951,4,04:27,NE,SEA,,0,35,-22,kickoff,"5-J.Myers kicks 65 yards from SEA 35 to end zone, Touchback to the NE 35.",0.5561,-5e-05,0.0006
3982,4,04:27,NE,SEA,1,10,65,-22,pass,(4:27) (Shotgun) 10-D.Maye pass short middle to 3-D.Douglas to NE 46 for 11 yards (13-E.Jones).,0.6811,5e-05,0.0005
4007,4,04:08,NE,SEA,1,10,54,-22,pass,"(4:08) (No Huddle, Shotgun) 10-D.Maye pass short middle to 3-D.Douglas to SEA 46 for 8 yards (53-B.Mafe).",0.5403,-0.0,0.0006
4032,4,03:48,NE,SEA,2,2,46,-22,pass,"(3:48) (No Huddle, Shotgun) 10-D.Maye pass short left to 81-A.Hooper pushed ob at SEA 41 for 5 yards (21-D.Witherspoon).",0.146,3e-05,0.0006
4105,4,03:36,NE,SEA,1,20,51,-22,pass,(3:36) (Shotgun) 10-D.Maye pass short right to 38-R.Stevenson pushed ob at SEA 44 for 7 yards (21-D.Witherspoon).,-0.0964,-0.00013,0.0006
4130,4,03:28,NE,SEA,2,13,44,-22,pass,"(3:28) (No Huddle, Shotgun) 10-D.Maye pass short middle to 85-H.Henry to SEA 33 for 11 yards (21-D.Witherspoon).",1.023,0.0,0.0005
4155,4,02:58,NE,SEA,3,2,33,-22,pass,"(2:58) (No Huddle, Shotgun) 10-D.Maye pass deep middle to 8-S.Diggs to SEA 7 for 26 yards (8-C.Bryant).",2.1098,0.00071,0.0005
4180,4,02:32,NE,SEA,1,7,7,-22,pass,(2:32) (Shotgun) 10-D.Maye pass incomplete short left to 13-M.Hollins.,-0.5146,0.0003,0.0012
4210,4,02:28,NE,SEA,2,7,7,-22,pass,"(2:28) (Shotgun) 10-D.Maye pass short left to 38-R.Stevenson for 7 yards, TOUCHDOWN.",2.5583,-0.00027,0.0015
